model,validation_type,patient_group,NO AF patients,AF patients,NO AF recall,AF recall,NO AF precision,AF precision,NO AF f1,AF f1,mcc,auc
1.5,transfer,balanced test,183,184,0.7595628415300546,0.8097826086956522,0.7988505747126436,0.772020725388601,0.7787114845938375,0.7904509283819628,0.5701078646862169,0.8597053932050369
1.5,transfer,all patients,18934,184,0.7474384704763917,0.8097826086956522,0.997532952703179,0.030216994524437234,0.8545635699405211,0.05826001955034213,0.12434973076424237,0.8541524104325782
1.5,combo,all patients uzgent,18934,184,0.7331255941692194,0.8152173913043478,0.9975565936040245,0.028829521429944265,0.8451398824926177,0.055689623166883244,0.12028566453561859,0.8513095834041362
1.5,combo,balanced test uzgent,183,184,0.73224043715847,0.8152173913043478,0.7976190476190477,0.7537688442211056,0.7635327635327636,0.783289817232376,0.5494193461350821,0.8534687574245664
1.5,combo,all patients amsterdam,13191,344,0.6997953149874915,0.7238372093023255,0.989813424833798,0.05915894511760513,0.8199138428742728,0.1093784318032067,0.1440357202327523,0.7946866961793895
1.5,combo,balanced test amsterdam,378,344,0.7354497354497355,0.7238372093023255,0.7453083109919572,0.7134670487106017,0.7403462050599202,0.7186147186147187,0.45903108095783235,0.8090393133997785
1.5,direct,all patients,18970,194,0.514760147601476,0.9072164948453608,0.9981600735970562,0.018761326084639166,0.6792334712899525,0.03676240208877285,0.08450109717147315,0.8162445858626481
1.5,direct,balanced test,183,183,0.5191256830601093,0.9016393442622951,0.8407079646017699,0.6521739130434783,0.6418918918918919,0.756880733944954,0.45539812989747863,0.8274955955686943
12,transfer,balanced test,165,150,0.703030303030303,0.8333333333333334,0.8226950354609929,0.7183908045977011,0.7581699346405228,0.7716049382716049,0.5387195641136063,0.8472727272727272
12,transfer,all patients,9675,150,0.7249612403100775,0.8333333333333334,0.9964483591419235,0.04486719310839914,0.8392963982290296,0.08514986376021798,0.15187576708756398,0.8505998277347115
12,combo,all patients uzgent,9675,150,0.7081136950904393,0.8333333333333334,0.9963641652123327,0.0423872499152255,0.8278653857772944,0.08067118425298485,0.144851091014298,0.8361054263565892
12,combo,balanced test uzgent,165,150,0.703030303030303,0.8333333333333334,0.8226950354609929,0.7183908045977011,0.7581699346405228,0.7716049382716049,0.5387195641136063,0.8458181818181818
12,combo,all patients amsterdam,7733,298,0.5939480150006465,0.7281879194630873,0.9826700898587933,0.06464104855525767,0.7403884903683404,0.11874145006839944,0.12345289702373685,0.7244978593442034
12,combo,balanced test amsterdam,298,298,0.6644295302013423,0.7281879194630873,0.7096774193548387,0.6845425867507886,0.6863084922010398,0.705691056910569,0.3934179119001666,0.7486036665015089
12,direct,all patients,9653,160,0.48554853413446597,0.9,0.996597916223687,0.02818003913894325,0.6529674003900808,0.05464895635673624,0.09773998347099985,0.7751269035532995
12,direct,balanced test,158,158,0.5569620253164557,0.8987341772151899,0.8461538461538461,0.6698113207547169,0.6717557251908397,0.7675675675675675,0.4848952125963288,0.7998317577311328
6,transfer,balanced test,165,151,0.7212121212121212,0.8145695364238411,0.8095238095238095,0.727810650887574,0.7628205128205128,0.7687499999999999,0.5365574972956173,0.8337949026690749
6,transfer,all patients,12070,151,0.7367854183927092,0.8145695364238411,0.9968613384149759,0.03727272727272727,0.8473155161735981,0.07128368588814836,0.1371859549842794,0.8438408401323406
6,combo,all patients uzgent,12070,151,0.7265120132560067,0.8344370860927153,0.9971571526040482,0.036766851473592065,0.8405866564417179,0.0704304080491895,0.13794795951247224,0.848796479696253
6,combo,balanced test uzgent,165,151,0.6727272727272727,0.8344370860927153,0.8161764705882353,0.7,0.7375415282392027,0.7613293051359517,0.5116505728950635,0.8314669877583785
6,combo,all patients amsterdam,13320,311,0.6263513513513513,0.7009646302250804,0.9889758179231863,0.04196342637151107,0.7669608383894099,0.07918634217217581,0.10063254501179973,0.7304347353784653
6,combo,balanced test amsterdam,350,311,0.7428571428571429,0.7009646302250804,0.7365439093484419,0.7077922077922078,0.7396870554765291,0.7043618739903069,0.4440788706455573,0.7823426734037666
6,direct,all patients,12053,161,0.6799966813241517,0.7515527950310559,0.9951432734337057,0.030417295123177476,0.807925476859382,0.05846822904083112,0.10502690120185548,0.7652304804917001
6,direct,balanced test,158,158,0.6582278481012658,0.7531645569620253,0.7272727272727273,0.6878612716763006,0.6910299003322259,0.7190332326283989,0.41325896753873637,0.7620573626021471
