model,validation_type,patient_group,NO AF patients,AF patients,NO AF recall,AF recall,NO AF precision,AF precision,NO AF f1,AF f1,mcc,auc
1.5,transfer,all patients,52637,1365,0.6811368429051807,0.7098901098901099,0.9890755607051229,0.054582324114234214,0.8067187183583466,0.10137043623810021,0.13065760470175852,0.7681643179030948
1.5,transfer,balanced test,1393,1365,0.6618808327351041,0.7098901098901099,0.6995447647951442,0.6729166666666667,0.6801918111398009,0.6909090909090909,0.3721160268869025,0.7585583595633847
1.5,combo,all patients mimic,52637,1365,0.6847654691566769,0.706959706959707,0.9890242563933707,0.05496070167445039,0.8092410278286055,0.10199228452148179,0.1312631534193391,0.7688936131153582
1.5,combo,balanced test mimic,1393,1365,0.6776740847092606,0.706959706959707,0.7023809523809523,0.6824611032531824,0.6898063573255389,0.6944944224541201,0.38473790955952997,0.758897312307219
1.5,combo,all patients amsterdam,13191,344,0.6468046395269502,0.75,0.9900208865165931,0.052471018913971934,0.7824292723187675,0.09808021288728379,0.12984985643884495,0.7951809990250576
1.5,combo,balanced test amsterdam,1393,1365,0.6776740847092606,0.706959706959707,0.7023809523809523,0.6824611032531824,0.6898063573255389,0.6944944224541201,0.38473790955952997,0.758897312307219
1.5,direct,all patients,45349,1251,0.7268738009658426,0.5899280575539568,0.9846755884813,0.05623285583663517,0.8363590231525531,0.10267826086956522,0.1138414300203384,0.7356783650677641
1.5,direct,balanced test,1070,1070,0.7672897196261682,0.602803738317757,0.658908507223114,0.7214765100671141,0.7089810017271158,0.6568228105906313,0.3752039530695276,0.7601829854135732
12,transfer,all patients,47109,1047,0.6658387993801609,0.7249283667621776,0.9909019112304533,0.045997212290164236,0.7964806256665481,0.08650558468201505,0.12007899871038162,0.7555260440422639
12,transfer,balanced test,1044,1047,0.6676245210727969,0.7249283667621776,0.7076142131979696,0.6862567811934901,0.6870379497289306,0.7050627032048304,0.39321138880098644,0.7601114477781803
12,combo,all patients mimic,47109,1047,0.6731622407607888,0.7153772683858644,0.9906904092471103,0.046389198563111605,0.8016279275521683,0.08712848252195661,0.12002871580556888,0.7538851706531234
12,combo,balanced test mimic,1044,1047,0.6829501915708812,0.7153772683858644,0.705242334322453,0.6935185185185185,0.6939172749391727,0.7042783262811472,0.3985440974877558,0.7608186315947406
12,combo,all patients amsterdam,7733,298,0.5675675675675675,0.7550335570469798,0.9836396234872254,0.0630428691510227,0.7198031980319802,0.11636927851047324,0.1227184771128993,0.7322027881900719
12,combo,balanced test amsterdam,1044,1047,0.6829501915708812,0.7153772683858644,0.705242334322453,0.6935185185185185,0.6939172749391727,0.7042783262811472,0.3985440974877558,0.7608186315947406
12,direct,all patients,39928,958,0.7155379683430174,0.5688935281837161,0.98575026739813,0.045786776442913554,0.8291854711149164,0.08475235207215615,0.09471076272387001,0.704630077354269
12,direct,balanced test,858,858,0.754079254079254,0.583916083916084,0.6444223107569721,0.7036516853932584,0.6949516648764769,0.6382165605095542,0.3429976501030075,0.7388265386517134
6,transfer,all patients,53203,1253,0.6520496964456891,0.6799680766161214,0.988572894106919,0.0439991737244371,0.785797610283708,0.08265024009312705,0.10399281429687857,0.742552329233815
6,transfer,balanced test,1217,1253,0.6713229252259655,0.6799680766161214,0.6707717569786535,0.6805111821086262,0.6710472279260781,0.6802395209580838,0.35128697044155116,0.7529023195604174
6,combo,all patients mimic,53203,1253,0.6546435351389959,0.6799680766161214,0.9886176554073233,0.04431499011754915,0.7876923772799747,0.08320718785096928,0.10497449975321398,0.7414822736430069
6,combo,balanced test mimic,1217,1253,0.6721446179129006,0.6799680766161214,0.6710418375717802,0.6810551558752997,0.6715927750410509,0.6805111821086262,0.3521048439005329,0.7509962941856554
6,combo,all patients amsterdam,13320,311,0.58993993993994,0.7363344051446945,0.9896725440806046,0.04023897381830961,0.7392285983066793,0.07630789736754415,0.09878947774411774,0.7363783397545455
6,combo,balanced test amsterdam,1217,1253,0.6721446179129006,0.6799680766161214,0.6710418375717802,0.6810551558752997,0.6715927750410509,0.6805111821086262,0.3521048439005329,0.7509962941856554
6,direct,all patients,45814,1144,0.8138341991530973,0.4606643356643357,0.9837211756635533,0.0581934628975265,0.8907496774810072,0.10333333333333333,0.1072637257996323,0.7132252951353008
6,direct,balanced test,981,981,0.8338430173292558,0.4750254841997961,0.6136534133533383,0.7408585055643879,0.707000864304235,0.5788819875776398,0.33090416312024074,0.7428932593901871
